year,source,type,title,url,doi,article_doi,matched_term
2024,zenodo,dataset,"The training and detraining effects of 8-Week Dynamic Stretching of Hip Flexors on Hip range of motion, Pain, and Physical Fitness in professional Soccer Players with Low Back Pain. A random",https://zenodo.org/records/14172856,10.5281/zenodo.14172856,,low back pain
2024,zenodo,dataset,Unravelling the physiological and psychosocial signatures of pain by machine learning,https://zenodo.org/records/12570277,10.5281/zenodo.12570277,10.1016/j.medj.2024.07.016,low back pain
2024,zenodo,dataset,"Effects of upper thoracic Mulligan mobilization on pain, range of motion and function in patients with mechanical neck pain: a randomized placebo-controlled trial",https://zenodo.org/records/13270271,10.5281/zenodo.13270271,,neck pain
2024,zenodo,dataset,Dataset for Effects Effects of Soft Tissue Mobilization with TECAR Therapy Using Bracelet Electrodes in Women with Chronic Non-specific Neck Pain,https://zenodo.org/records/14262845,10.5281/zenodo.14262845,,neck pain
2024,zenodo,dataset,Effect Of Pulsed Electromagnetic Field And Microwave Therapy On Pain And Physical Function In Older Adults With Knee Osteoarthritis: A Randomized Clinical Trial.,https://zenodo.org/records/11059399,10.5281/zenodo.11059399,,knee osteoarthritis
2024,zenodo,dataset,EFFECT OF SWEDISH MASSAGE AND HOT MUD WITH CALOTROPIS GIGANTEA APPLICATION AMONG KNEE JOINT OSTEOARTHRITIS CASES-A RANDOMIZED CONTROL TRIAL,https://zenodo.org/records/10473505,10.21474/IJAR01/17962,,knee osteoarthritis
2024,zenodo,dataset,"Datasets - ""Telerehabilitation for visual field defects with a multisensory training: a randomized clinical trial"" by Diana et al.",https://zenodo.org/records/13335206,10.5281/zenodo.13335206,,telerehabilitation
2023,dryad,dataset,REGAIN trial intervention development process evaluation data,https://datadryad.org/dataset/10.5061/dryad.n8pk0p30r,10.5061/dryad.n8pk0p30r,,rehabilitation trial
2023,dryad,dataset,Remodeling dental anatomy vs sham therapy for chronic temporomandibular disorders: A placebo-controlled randomized clinical trial,https://datadryad.org/dataset/10.5061/dryad.zkh189370,10.5061/dryad.zkh189370,,chronic pain trial
2023,zenodo,dataset,Immune cell parameters found to be impacted in patients with autoimmune and autoinflammatory disorders enrolled in the Transimmunom study.,https://zenodo.org/records/10364383,10.5281/zenodo.10364383,,knee osteoarthritis
2023,zenodo,dataset,The role of Stroke-Induced Immunosuppression as predictor of functional outcome in the neurorehabilitation setting,https://zenodo.org/records/10057752,10.5281/zenodo.10057752,,stroke rehabilitation
2023,zenodo,dataset,The ACTonHEART Study: a Randomized Controlled Clinical Trial of a short intervention based on Acceptance and Commitment Therapy vs. usual care for cardiac rehabilitation patients with corona,https://zenodo.org/records/10925257,10.5281/zenodo.10925257,,cardiac rehabilitation
2022,dryad,dataset,Development of chronic pain after posterolateral and axillary approaches for thoracic surgery: A prospective monocentric observational study,https://datadryad.org/dataset/10.5061/dryad.g4f4qrft1,10.5061/dryad.g4f4qrft1,,shoulder pain
2022,zenodo,dataset,Sensor-based telerehabilitation system increases patient adherence after knee surgery,https://zenodo.org/records/7446987,10.5281/zenodo.7446987,,physiotherapy
2022,zenodo,dataset,CFT trial dataset,https://zenodo.org/records/6760585,10.5281/zenodo.6760585,,low back pain
2022,zenodo,software,nirakara-lab/MBSR_Low_Back_Pain: MBSRCLBP,https://zenodo.org/records/6793440,10.5281/zenodo.6793440,,low back pain
2022,zenodo,software,nirakara-lab/RCT_Minfulness_Chronic_Back_Pain: Mindfulness Based Stress Reduction for Chronic Back Pain,https://zenodo.org/records/6793434,10.5281/zenodo.6793434,,low back pain
2022,zenodo,dataset,"Dataset of the study ""Thirty seconds sit-to-stand test as an alternative for estimating peak oxygen uptake and six-minutes walking distance in women with breast cancer: a cross-sectional stu",https://zenodo.org/records/5905641,10.5281/zenodo.5905641,,cardiac rehabilitation
2022,zenodo,dataset,Pulmonary thromboembolism in coronavirus disease 2019 patients undergoing thromboprophylaxis,https://zenodo.org/records/6373373,10.5281/zenodo.6373373,,cardiac rehabilitation
2021,dryad,dataset,Effect of a single application of Scenar for pain relief in patients with low back and neck pain,https://datadryad.org/dataset/10.5061/dryad.63xsj3v2s,10.5061/dryad.63xsj3v2s,,low back pain
