"baseline","covars","model","inference","est","se","p","df","sigma","singular","n","sd_denom","d","d_resid","ci_lo","ci_hi","ci_width_d","s_value","dup_group","is_dup","study_id","grid_type","spec_id","missing","transform","outlier","outlier_scope"
"ancova","none","lm","permutation",59.4581557649842,12.3239352677806,2e-04,116,59.9370193332579,0,119,78.0999506788403,0.761308493131907,0.992010554185032,35.0490491209952,83.8672624089732,0.625073548237263,12.2877123795494,45,FALSE,"tereco_PMC8318721","defensible",45,"locf","none",NA,NA
"endpoint","strat","lm","permutation",68.5416488983652,15.1483031712104,2e-04,116,74.9259326856827,0,119,78.0999506788403,0.87761449658553,0.914792067866545,38.5385257443324,98.544772052398,0.768326302212673,12.2877123795494,46,FALSE,"tereco_PMC8318721","defensible",46,"locf","none",NA,NA
"change","strat","lm","permutation",54.1193674484718,11.9704524152289,2e-04,116,59.6597367554938,0,119,78.0999506788403,0.692950084834489,0.907133862663049,30.4103781336703,77.8283567632733,0.607144796090761,12.2877123795494,47,FALSE,"tereco_PMC8318721","defensible",47,"locf","none",NA,NA
"ancova","strat","lm","permutation",59.4318876144884,10.7152301712061,2e-04,115,50.2214220436431,0,119,78.0999506788403,0.760972152964372,1.18339714799078,38.2070788866992,80.6566963422776,0.543529375967702,12.2877123795494,48,FALSE,"tereco_PMC8318721","defensible",48,"locf","none",NA,NA
"endpoint","none","lm","model",0.143937677621515,0.0346244810687811,6.40349629396106e-05,110,0.182747548121158,0,112,0.182747548121158,0.78763123829211,0.78763123829211,0.0753200831275548,0.212555272115475,0.750955021825714,13.9307806460931,49,FALSE,"tereco_PMC8318721","defensible",49,"complete_case","log",NA,NA
"change","none","lm","model",0.11639484160034,0.026395138186922,2.42094853164434e-05,110,0.139313186424282,0,112,0.182747548121158,0.636916023207997,0.835490484338333,0.0640858731244118,0.168703810076269,0.572472451901226,15.3340680658686,50,FALSE,"tereco_PMC8318721","defensible",50,"complete_case","log",NA,NA
"ancova","none","lm","model",0.125817907514961,0.0227480717852671,2.2073335281383e-07,109,0.119804535535632,0,112,0.182747548121158,0.688479319194732,1.05019319137163,0.0807319687823704,0.170903846247553,0.493423186205486,22.1111920268748,51,FALSE,"tereco_PMC8318721","defensible",51,"complete_case","log",NA,NA
"endpoint","strat","lm","model",0.141963937789306,0.0328387681583336,3.41578260364394e-05,109,0.17329907735847,0,112,0.182747548121158,0.77683087542814,0.819184613981829,0.0768785668964948,0.207049308682116,0.712298157342832,14.8374243164062,52,FALSE,"tereco_PMC8318721","defensible",52,"complete_case","log",NA,NA
"change","strat","lm","model",0.114085812931514,0.0228671752870193,2.31044373091741e-06,109,0.120676279936195,0,112,0.182747548121158,0.624280949892017,0.94538722101671,0.0687638149305359,0.159407810932492,0.496006632832416,18.7233986151216,53,FALSE,"tereco_PMC8318721","defensible",53,"complete_case","log",NA,NA
"ancova","strat","lm","model",0.123190312865423,0.01889270376788,2.31443813081847e-09,108,0.0994807171456401,0,112,0.182747548121158,0.674101043389926,1.23833358262861,0.0857416964287437,0.160638929302103,0.409839878254914,28.6866908567288,54,FALSE,"tereco_PMC8318721","defensible",54,"complete_case","log",NA,NA
"endpoint","none","lm","hc3",0.143937677621515,0.0333780212655867,3.53711908974202e-05,110,0.182747548121158,0,112,0.182747548121158,0.78763123829211,0.78763123829211,0.0777902738910991,0.21008508135193,0.723921107675395,14.7870656811011,55,FALSE,"tereco_PMC8318721","defensible",55,"complete_case","log",NA,NA
"change","none","lm","hc3",0.11639484160034,0.0268777113990813,3.29660644406425e-05,110,0.139313186424282,0,112,0.182747548121158,0.636916023207997,0.835490484338333,0.0631295262864673,0.169660156914213,0.582938768388388,14.8886588091716,56,FALSE,"tereco_PMC8318721","defensible",56,"complete_case","log",NA,NA
"ancova","none","lm","hc3",0.125817907514961,0.0228962389577741,2.58776479993591e-07,109,0.119804535535632,0,112,0.182747548121158,0.688479319194732,1.05019319137163,0.0804383062634152,0.171197508766508,0.496637046221386,21.8817901664275,57,FALSE,"tereco_PMC8318721","defensible",57,"complete_case","log",NA,NA
