"study_id","grid_type","n_spec","n","d_median","d_q25","d_q75","d_min","d_max","d_range","share_same_sign","share_ci_excl_0","mcid_d","mcid_source","share_abs_d_gt_mcid","share_ci_excl_mcid","s_median","s_min","s_max","ci_width_d_median","published_d","published_percentile","published_inside_range"
"phosphatidic_PMC4891923","defensible",18,18,0.10114142616523,0.0637453570233839,0.104627777210148,0.0561537615175687,0.105685323791767,0.0495315622741983,1,0.222222222222222,0.2,"cohen_small_0.2",0,0,4.00884959188288,0.130309776970463,5.32192809488736,0.225031371422527,NA,NA,NA
"physiofeedback_PMC12821712","defensible",45,276,0.0744476674010598,0.0493100032653783,0.108440985035858,-0.0193916989597152,0.141056070903759,0.160447769863474,0.955555555555556,0,0.2,"cohen_small_0.2",0,0,0.761612418202451,0.0359952513666627,1.95455702923883,0.524725123955463,NA,NA,NA
"spadi_PMC4880881","defensible",24,72,-0.952179832359425,-0.974920466439817,-0.910065356717825,-1.00123257491064,-0.869381586067301,0.131850988843339,1,1,0.2,"cohen_small_0.2",1,1,13.9513501921785,10.2877123795494,17.625420010073,0.87420681373159,-0.911754806228564,0.75,TRUE
"tdcs_PMC13257960","defensible",18,20,1.41454868774579,1.39159240282782,1.4259232094725,1.37577644988476,1.46233959124515,0.08656314136039,1,1,0.2,"cohen_small_0.2",1,0.5,7.30270287489284,6.14382935363023,12.2877123795494,2.0928911986355,1.40572317786839,0.5,TRUE
"tereco_PMC8318721","defensible",96,119,0.758344971599062,0.655413764507557,0.80807037471478,0.537487742580969,0.917165122317403,0.379677379736434,1,1,0.2,"cohen_small_0.2",1,0.5,16.4219843308577,11.2877123795494,31.8907104894488,0.578257352708313,0.838028698240042,0.802083333333333,TRUE
"tscs_PMC13085461","defensible",18,20,1.08620595082158,0.975952797483813,1.36142636043042,0.975109014672084,1.4970204069689,0.521911392296816,1,1,0.2,"cohen_small_0.2",1,0.5,10.8429100421258,6.48035745749184,21.4727872417836,1.1676800495404,0.975600366313781,0.166666666666667,TRUE
"clusterset_PMC13140343","outlier_arm",18,36,0.0593019441315508,0.0542099689895853,0.154850897965766,0.0528470310068392,0.170708783556057,0.117861752549218,1,0,0.2,"cohen_small_0.2",0,0,1.51650541193166,0.609986864737185,1.89938081195853,0.239067248024729,NA,NA,NA
"creatine_PMC11944689","outlier_arm",9,63,0.0445591169729494,0.0438705365328039,0.256344431298003,0.0438705365328039,0.256344431298003,0.212473894765199,1,0.666666666666667,0.2,"cohen_small_0.2",0.333333333333333,0,5.16136574143339,1.60516073039323,5.42973138442188,0.0793577329597069,0.0440997770491987,0.333333333333333,TRUE
"etip_PMC6886967","outlier_arm",30,59,0.227121800901998,0.191594224595097,0.275165776596106,0.0447112706729914,0.28904744535979,0.244336174686799,1,0,0.2,"cohen_small_0.2",0.7,0,1.60106053603581,0.202983370448931,2.13944536400175,0.97210227081249,0.191833451815221,0.3,TRUE
"etre_PMC11945196","outlier_arm",9,16,-0.903433434176083,-1.24016288583254,-0.873918059108339,-1.24016288583254,-0.873918059108339,0.366244826724201,1,1,0.2,"cohen_small_0.2",1,0.666666666666667,9.70274987882829,4.79786894466346,11.9513160460702,1.25160270893851,-0.905026791202848,0.333333333333333,TRUE
"facial_PMC11164989","outlier_arm",16,23,1.48884427053899,1.45428123953032,1.50984114088926,1.44450455892844,1.55489957739138,0.11039501846294,1,1,0.2,"cohen_small_0.2",1,1,9.57024290819574,8.28771237954945,11.775284962038,1.68997561018355,NA,NA,NA
"free_PMC6733445","outlier_arm",219,214,0.0548943182353964,0.020348515326988,0.085029223310483,-0.0308923288146589,0.116928004593053,0.147820333407712,0.91324200913242,0,0.2,"cohen_small_0.2",0,0,0.424227007092875,0.0104249794190927,1.06987138797388,0.540286632838969,0.136635290330863,1,FALSE
"gainingmore_PMC10809978","outlier_arm",9,39,-0.0900509472501619,-0.467513371606063,-0.0600318786254086,-0.467513371606063,-0.0600318786254086,0.407481492980654,1,0,0.2,"cohen_small_0.2",0.333333333333333,0,0.956159859874428,0.584720119496564,2.69929743391842,0.560481264256425,-0.0767982357016106,0.666666666666667,TRUE
"lytras_fms_PMC12942207","outlier_arm",9,40,-0.883681732791487,-1.01452250779739,-0.785436780230237,-1.01452250779739,-0.785436780230237,0.229085727567153,1,1,0.2,"cohen_small_0.2",1,0.666666666666667,7.34965472127039,5.34519787421021,8.20024953829911,1.31360039279448,-0.785436780230239,0.666666666666667,TRUE
"mallorca_PMC8198819","outlier_arm",19,263,-0.286808328438387,-0.303967092287357,-0.243905312440099,-0.315217401527501,-0.235766789527429,0.079450612000072,1,1,0.2,"cohen_small_0.2",1,0,6.36471006971733,5.49329651319934,6.9049390733352,0.441651422023732,-0.319068593211434,0,FALSE
"mulligan_PMC13092435","outlier_arm",9,29,-0.219613272215859,-0.320302681965072,-0.117099905234543,-0.320302681965072,-0.117099905234543,0.203202776730529,1,0,0.2,"cohen_small_0.2",0.666666666666667,0,1.0257920194117,0.394967304704693,1.33527043972331,1.52496835615839,NA,NA,NA
"phosphatidic_PMC4891923","outlier_arm",9,18,0.104627777210148,0.0637453570233839,0.105685323791767,0.0637453570233839,0.105685323791767,0.0419399667683831,1,0.222222222222222,0.2,"cohen_small_0.2",0,0,3.83267360074346,0.149612339995992,5.32192809488736,0.230300273987355,NA,NA,NA
"physiofeedback_PMC12821712","outlier_arm",157,276,0.0912904255246848,0.0704351849742166,0.108350694924335,0.0222200222343422,0.141056070903759,0.118836048669417,1,0,0.2,"cohen_small_0.2",0,0,1.12636139174106,0.143335799272597,2.12280545287376,0.494023431673588,NA,NA,NA
"spadi_PMC4880881","outlier_arm",9,71,-0.974920466439817,-1.00123257491064,-0.903718505853153,-1.00123257491064,-0.903718505853153,0.097514069057487,1,1,0.2,"cohen_small_0.2",1,1,12.2877123795494,10.2877123795494,17.625420010073,0.92517066508802,-0.911754806228564,0.666666666666667,TRUE
"tdcs_PMC13257960","outlier_arm",41,20,1.37829744097849,1.22204905282985,1.41407500710009,0.383887890372666,1.46233959124515,1.07845170087248,1,0.926829268292683,0.2,"cohen_small_0.2",1,0.804878048780488,7.94141970417685,2.14605491609919,12.2877123795494,1.9184045986481,1.40572317786839,0.707317073170732,TRUE
"tereco_PMC8318721","outlier_arm",126,112,0.826235434485844,0.800577052207873,0.857926245071415,0.761660043281722,0.913408764885518,0.151748721603796,1,1,0.2,"cohen_small_0.2",1,1,19.1017197709533,12.2877123795494,32.5460151885211,0.640453252825178,0.838028698240042,0.619047619047619,TRUE
"tscs_PMC13085461","outlier_arm",9,20,1.0301552645146,0.975109014672084,1.36142636043042,0.975109014672084,1.36142636043042,0.386317345758336,1,1,0.2,"cohen_small_0.2",1,1,12.2877123795494,6.48035745749184,21.4727872417836,1.16471673447963,0.975600366313781,0.333333333333333,TRUE
"clusterset_PMC13140343","principled",18,36,0.0593019441315508,0.0542099689895853,0.154850897965766,0.0528470310068392,0.170708783556057,0.117861752549218,1,0,0.2,"cohen_small_0.2",0,0,1.51650541193166,0.609986864737185,1.89938081195853,0.239067248024729,NA,NA,NA
"creatine_PMC11944689","principled",9,63,0.0445591169729494,0.0438705365328039,0.256344431298003,0.0438705365328039,0.256344431298003,0.212473894765199,1,0.666666666666667,0.2,"cohen_small_0.2",0.333333333333333,0,5.16136574143339,1.60516073039323,5.42973138442188,0.0793577329597069,0.0440997770491987,0.333333333333333,TRUE
"etip_PMC6886967","principled",9,59,0.191594224595097,0.0447112706729914,0.25357528341171,0.0447112706729914,0.25357528341171,0.208864012738719,1,0,0.2,"cohen_small_0.2",0.333333333333333,0,1.22836791872502,0.202983370448931,1.65733560063452,1.03422057446603,0.191833451815221,0.666666666666667,TRUE
"etre_PMC11945196","principled",9,16,-0.903433434176083,-1.24016288583254,-0.873918059108339,-1.24016288583254,-0.873918059108339,0.366244826724201,1,1,0.2,"cohen_small_0.2",1,0.666666666666667,9.70274987882829,4.79786894466346,11.9513160460702,1.25160270893851,-0.905026791202848,0.333333333333333,TRUE
"facial_PMC11164989","principled",9,23,1.49482166205522,1.45428123953032,1.55489957739138,1.45428123953032,1.55489957739138,0.10061833786106,1,1,0.2,"cohen_small_0.2",1,1,9.64208805088875,8.6487168085747,11.775284962038,1.7361596080553,NA,NA,NA
"free_PMC6733445","principled",35,214,0.0910923357729172,0.0752668490613692,0.095181871330815,0.0562302659484063,0.116928004593053,0.0606977386446467,1,0,0.2,"cohen_small_0.2",0,0,0.796607296615183,0.324694172944891,1.04700301000092,0.553955432955618,0.136635290330863,1,FALSE
"gainingmore_PMC10809978","principled",9,39,-0.0900509472501619,-0.467513371606063,-0.0600318786254086,-0.467513371606063,-0.0600318786254086,0.407481492980654,1,0,0.2,"cohen_small_0.2",0.333333333333333,0,0.956159859874428,0.584720119496564,2.69929743391842,0.560481264256425,-0.0767982357016106,0.666666666666667,TRUE
"lytras_fms_PMC12942207","principled",9,40,-0.883681732791487,-1.01452250779739,-0.785436780230237,-1.01452250779739,-0.785436780230237,0.229085727567153,1,1,0.2,"cohen_small_0.2",1,0.666666666666667,7.34965472127039,5.34519787421021,8.20024953829911,1.31360039279448,-0.785436780230239,0.666666666666667,TRUE
"mallorca_PMC8198819","principled",3,263,-0.315217401527501,-0.315217401527501,-0.315217401527501,-0.315217401527501,-0.315217401527501,0,1,1,0.2,"cohen_small_0.2",1,0,6.48238171357338,6.36711274107402,6.53282487738598,0.488365930853606,-0.319068593211434,0,FALSE
"mulligan_PMC13092435","principled",9,29,-0.219613272215859,-0.320302681965072,-0.117099905234543,-0.320302681965072,-0.117099905234543,0.203202776730529,1,0,0.2,"cohen_small_0.2",0.666666666666667,0,1.0257920194117,0.394967304704693,1.33527043972331,1.52496835615839,NA,NA,NA
"phosphatidic_PMC4891923","principled",9,18,0.104627777210148,0.0637453570233839,0.105685323791767,0.0637453570233839,0.105685323791767,0.0419399667683831,1,0.222222222222222,0.2,"cohen_small_0.2",0,0,3.83267360074346,0.149612339995992,5.32192809488736,0.230300273987355,NA,NA,NA
"physiofeedback_PMC12821712","principled",23,276,0.108440985035858,0.0666230405282242,0.133107134982672,0.0493100032653783,0.141056070903759,0.0917460676383807,1,0,0.2,"cohen_small_0.2",0,0,1.37638035048993,0.361661108754569,1.95455702923883,0.544477866854346,NA,NA,NA
"spadi_PMC4880881","principled",9,71,-0.974920466439817,-1.00123257491064,-0.903718505853153,-1.00123257491064,-0.903718505853153,0.097514069057487,1,1,0.2,"cohen_small_0.2",1,1,12.2877123795494,10.2877123795494,17.625420010073,0.92517066508802,-0.911754806228564,0.666666666666667,TRUE
"tdcs_PMC13257960","principled",9,20,1.42370139220887,1.4053959832827,1.46233959124515,1.4053959832827,1.46233959124515,0.0569436079624499,1,1,0.2,"cohen_small_0.2",1,1,7.47279946154215,6.3525698443252,10.7027498788283,2.0934798347955,1.40572317786839,0.333333333333333,TRUE
"tereco_PMC8318721","principled",18,112,0.842797691973665,0.80807037471478,0.90118751433488,0.792868834607522,0.913408764885518,0.120539930277996,1,1,0.2,"cohen_small_0.2",1,1,17.937672185485,12.2877123795494,31.8907104894488,0.661165255760549,0.838028698240042,0.5,TRUE
"tscs_PMC13085461","principled",9,20,1.0301552645146,0.975109014672084,1.36142636043042,0.975109014672084,1.36142636043042,0.386317345758336,1,1,0.2,"cohen_small_0.2",1,1,12.2877123795494,6.48035745749184,21.4727872417836,1.16471673447963,0.975600366313781,0.333333333333333,TRUE
"clusterset_PMC13140343","strict",6,36,0.0582603501712395,0.0528470310068392,0.0636736693356399,0.0528470310068392,0.0636736693356399,0.0108266383288007,1,0,0.2,"cohen_small_0.2",0,0,1.54949704482106,1.32211967636703,1.89938081195853,0.241023271062841,NA,NA,NA
"creatine_PMC11944689","strict",3,63,0.0438705365328039,0.0438705365328039,0.0438705365328039,0.0438705365328039,0.0438705365328039,0,1,1,0.2,"cohen_small_0.2",0,0,5.1354114707863,5.08804003471309,5.16136574143339,0.0781692546251116,0.0440997770491987,1,FALSE
