"node","share","study_id","grid_type"
"inference",0,"etip_PMC6886967","defensible"
"population",0,"etip_PMC6886967","defensible"
"outlier_scope",6.70101967563301,"etip_PMC6886967","defensible"
"baseline",99.9368343672985,"phosphatidic_PMC4891923","defensible"
"covars",0,"phosphatidic_PMC4891923","defensible"
"outlier",0.0135503890820407,"phosphatidic_PMC4891923","defensible"
"inference",0,"phosphatidic_PMC4891923","defensible"
"population",0,"phosphatidic_PMC4891923","defensible"
"transform",0.0428400490784645,"phosphatidic_PMC4891923","defensible"
"outlier_scope",0.00677519454102033,"phosphatidic_PMC4891923","defensible"
"baseline",61.4642838282624,"facial_PMC11164989","defensible"
"covars",12.4796420987274,"facial_PMC11164989","defensible"
"outlier",0,"facial_PMC11164989","defensible"
"inference",0,"facial_PMC11164989","defensible"
"population",0,"facial_PMC11164989","defensible"
"transform",26.0560740730102,"facial_PMC11164989","defensible"
"outlier_scope",0,"facial_PMC11164989","defensible"
"baseline",93.5023467274494,"gainingmore_PMC10809978","defensible"
"covars",6.11765943585248,"gainingmore_PMC10809978","defensible"
"outlier",0,"gainingmore_PMC10809978","defensible"
"inference",0,"gainingmore_PMC10809978","defensible"
"population",0,"gainingmore_PMC10809978","defensible"
"transform",0.379993836698069,"gainingmore_PMC10809978","defensible"
"outlier_scope",0,"gainingmore_PMC10809978","defensible"
"outlier",2.68197413470649e-26,"etre_PMC11945196","defensible"
"inference",8.5535832560125e-27,"etre_PMC11945196","defensible"
"population",4.47901592128736e-27,"etre_PMC11945196","defensible"
"transform",100,"etre_PMC11945196","defensible"
"outlier_scope",8.22977788591482e-31,"etre_PMC11945196","defensible"
"baseline",97.1284799602664,"aquatic_PMC12111718","defensible"
"covars",2.84912929706375,"aquatic_PMC12111718","defensible"
"outlier",0,"aquatic_PMC12111718","defensible"
"inference",0,"aquatic_PMC12111718","defensible"
"population",0,"aquatic_PMC12111718","defensible"
"transform",0.0223907426698772,"aquatic_PMC12111718","defensible"
"outlier_scope",0,"aquatic_PMC12111718","defensible"
"baseline",23.7020238430045,"lengthpartial_PMC11829627","defensible"
"covars",0,"lengthpartial_PMC11829627","defensible"
"outlier",0,"lengthpartial_PMC11829627","defensible"
"inference",0,"lengthpartial_PMC11829627","defensible"
"population",0,"lengthpartial_PMC11829627","defensible"
"transform",76.2979761569955,"lengthpartial_PMC11829627","defensible"
"outlier_scope",0,"lengthpartial_PMC11829627","defensible"
"baseline",83.0853716032655,"creatine_PMC11944689","defensible"
"covars",7.74582396089235,"creatine_PMC11944689","defensible"
